항공사123,편명123,예정시간123,도착지공항123
대한항공,KE5775,202403090935,괌
대한항공,KE5755,202403090940,타이베이
대한항공,KE643,202403090950,싱가포르
대한항공,KE703,202403090955,도쿄/나리타
대한항공,KE081,202403091000,뉴욕/존에프케네디
대한항공,KE765,202403091005,삿포로
대한항공,KE763,202403091005,니가타
대한항공,KE125,202403091005,샤먼
대한항공,KE5745,202403091010,오키나와
대한항공,KE093,202403091015,워싱턴
대한항공,KE805,202403091015,톈진
대한항공,KE5681,202403091015,호찌민
대한항공,KE031,202403091020,댈러스포트워스
대한항공,KE073,202403091020,토론토
대한항공,KE767,202403091030,아오모리
대한항공,KE741,202403091035,나고야
대한항공,KE5627,202403091035,자카르타/수카르노하타
대한항공,KE5683,202403091035,하노이
대한항공,KE173,202403091040,홍콩
대한항공,KE037,202403091040,시카고/오헤어
대한항공,KE5829,202403091045,하이커우
대한항공,KE5673,202403091045,다낭
대한항공,KE727,202403091050,오사카/ 간사이
대한항공,KE907,202403091055,런던/히드로
대한항공,KE791,202403091105,후쿠오카
대한항공,KE5943,202403091105,타슈켄트
대한항공,KE5671,202403091105,쿠알라룸푸르
대한항공,KE925,202403091110,암스테르담
대한항공,KE457,202403091110,다낭
대한항공,KE897,202403091110,상하이/푸동
대한항공,KE945,202403091130,프랑크푸르트
대한항공,KE5629,202403091135,덴파사르
대한항공,KE5901,202403091145,파리/샤를드골
대한항공,KE5847,202403091155,옌타이
대한항공,KE5853,202403091200,칭다오
대한항공,KE915,202403091205,바르셀로나
대한항공,KE901,202403091210,파리/샤를드골
대한항공,KE5699,202403091215,가오슝
대한항공,KE5807,202403091215,상하이/푸동
대한항공,KE5691,202403091225,타이베이
대한항공,KE961,202403091245,부다페스트
대한항공,KE951,202403091245,두바이
대한항공,KE869,202403091250,다롄(대련)
대한항공,KE769,202403091255,삿포로
대한항공,KE5857,202403091255,상하이/푸동
대한항공,KE843,202403091305,칭다오
대한항공,KE789,202403091310,후쿠오카
대한항공,KE5843,202403091315,칭다오
대한항공,KE5867,202403091320,신 울란바토르
대한항공,KE711,202403091335,도쿄/나리타
대한항공,KE795,202403091350,오이타
대한항공,KE5849,202403091400,웨이하이
대한항공,KE931,202403091405,로마
대한항공,KE1411,202403091415,김해
대한항공,KE017,202403091430,로스앤젤레스
대한항공,KE833,202403091430,선양(심양)
대한항공,KE627,202403091505,자카르타/수카르노하타
대한항공,KE725,202403091510,오사카/ 간사이
대한항공,KE487,202403091545,푸꾸옥
대한항공,KE041,202403091600,시애틀
대한항공,KE023,202403091600,샌프란시스코
대한항공,KE187,202403091615,타이베이
대한항공,KE5825,202403091615,광저우
대한항공,KE633,202403091620,덴파사르
대한항공,KE5885,202403091620,상하이/푸동
대한항공,KE671,202403091640,쿠알라룸푸르
대한항공,KE5841,202403091640,칭다오
대한항공,KE663,202403091655,푸켓
대한항공,KE713,202403091655,도쿄/나리타
대한항공,KE5065,202403091710,방콕/수완나품
대한항공,KE1415,202403091715,김해
대한항공,KE651,202403091720,방콕/수완나품
대한항공,KE5077,202403091720,후쿠오카
대한항공,KE629,202403091740,덴파사르
대한항공,KE7901,202403091745,아부다비
대한항공,KE5067,202403091745,푸켓
대한항공,KE411,202403091755,오클랜드(뉴질랜드)
대한항공,KE5675,202403091755,호찌민
대한항공,KE667,202403091805,치앙마이
대한항공,KE475,202403091805,호찌민
대한항공,KE5689,202403091805,하노이
대한항공,KE071,202403091820,밴쿠버
대한항공,KE5893,202403091825,상하이/푸동
