항공사,편명,예정시간,도착지공항
대한항공,KE5077,202403131720,후쿠오카
대한항공,KE5031,202403131730,댈러스포트워스
대한항공,KE629,202403131740,덴파사르
대한항공,KE7901,202403131745,아부다비
대한항공,KE5067,202403131745,푸켓
대한항공,KE411,202403131755,오클랜드(뉴질랜드)
대한항공,KE5675,202403131755,호찌민
대한항공,KE667,202403131805,치앙마이
대한항공,KE475,202403131805,호찌민
대한항공,KE5689,202403131805,하노이
대한항공,KE071,202403131820,밴쿠버
대한항공,KE5893,202403131825,상하이/푸동
대한항공,KE467,202403131830,나트랑
대한항공,KE461,202403131830,다낭
대한항공,KE623,202403131835,마닐라
대한항공,KE645,202403131835,싱가포르
대한항공,KE781,202403131840,후쿠오카
대한항공,KE455,202403131840,하노이
대한항공,KE705,202403131845,도쿄/나리타
대한항공,KE401,202403131845,시드니
대한항공,KE5035,202403131845,애틀랜타
대한항공,KE615,202403131850,세부
대한항공,KE689,202403131855,프놈펜
대한항공,KE743,202403131900,나고야
대한항공,KE853,202403131900,베이징/서우두
대한항공,KE653,202403131905,방콕/수완나품
대한항공,KE721,202403131905,오사카/ 간사이
대한항공,KE895,202403131905,상하이/푸동
대한항공,KE1433,202403131925,대구
대한항공,KE5033,202403131925,미니애폴리스
대한항공,KE1427,202403131935,김해
대한항공,KE477,202403131935,호찌민
대한항공,KE5757,202403131935,비엔티안
대한항공,KE011,202403131940,로스앤젤레스
대한항공,KE407,202403131945,브리즈번
대한항공,KE177,202403132000,홍콩
대한항공,KE625,202403132005,마닐라
대한항공,KE5019,202403132005,시애틀
대한항공,KE5781,202403132005,세부
대한항공,KE673,202403132010,방콕/수완나품
대한항공,KE659,202403132015,방콕/수완나품
대한항공,KE025,202403132020,샌프란시스코
대한항공,KE053,202403132035,호놀룰루
대한항공,KE085,202403132035,뉴욕/존에프케네디
대한항공,KE719,202403132040,도쿄/하네다
대한항공,KE5693,202403132055,타이베이
대한항공,KE005,202403132100,라스베이거스
대한항공,KE5769,202403132110,다낭
대한항공,KE7895,202403132125,호놀룰루
대한항공,KE5763,202403132135,클라크필드
대한항공,KE6687,202403132225,리야드
대한항공,KE647,202403132310,싱가포르
대한항공,KE5951,202403132340,두바이
대한항공,KE5679,202403140615,나트랑
대한항공,KE5075,202403140650,후쿠오카
대한항공,KE1405,202403140700,김해
대한항공,KE5749,202403140705,키타큐슈
대한항공,KE5845,202403140725,옌타이
대한항공,KE5741,202403140730,도쿄/나리타
대한항공,KE775,202403140735,고마쓰
대한항공,KE621,202403140745,마닐라
대한항공,KE197,202403140745,신 울란바토르
대한항공,KE859,202403140755,베이징/서우두
대한항공,KE787,202403140800,후쿠오카
대한항공,KE5071,202403140800,오사카/ 간사이
대한항공,KE441,202403140805,하노이
대한항공,KE755,202403140805,오키나와
대한항공,KE827,202403140815,선전
대한항공,KE171,202403140820,홍콩
대한항공,KE1407,202403140825,김해
대한항공,KE893,202403140825,상하이/푸동
대한항공,KE5869,202403140830,칭다오
대한항공,KE5061,202403140835,삿포로
대한항공,KE831,202403140850,선양(심양)
대한항공,KE865,202403140855,광저우
대한항공,KE819,202403140855,장사
대한항공,KE5879,202403140855,상하이/푸동
대한항공,KE723,202403140900,오사카/ 간사이
대한항공,KE185,202403140900,타이베이
대한항공,KE845,202403140905,칭다오
대한항공,KE469,202403140910,호찌민
대한항공,KE657,202403140915,방콕/수완나품
대한항공,KE421,202403140915,괌
대한항공,KE811,202403140920,시안
대한항공,KE117,202403140925,옌지(연길)
대한항공,KE091,202403140930,보스턴
대한항공,KE035,202403140935,애틀랜타
대한항공,KE7273,202403140935,디트로이트
대한항공,KE5775,202403140935,괌
대한항공,KE5755,202403140940,타이베이
대한항공,KE643,202403140950,싱가포르
대한항공,KE703,202403140955,도쿄/나리타
대한항공,KE081,202403141000,뉴욕/존에프케네디
대한항공,KE765,202403141005,삿포로
대한항공,KE763,202403141005,니가타
